CULTID,GISREADY,Contacted,Organizati,Criteria,Discipline,NumSeats,StreetAddr,Town,PostalCode,Contact,ContactTit,PhoneNum,Email,Website,Descriptio,Public,Longitude,Latitude,Gadd,Gtown,Gprov,F23,F24
      201.000000,        1.000000,        0.000000,Sea Pines Studio,Cultural Industry,Visual Art,n/a,2178 Saxon Street,Port Williams,B0P 1T0,Donna Hermiston,Artist,582-3292,,,"Donna specializes in realist painting in oil, watercolour and acrylics. Art placed throughout Canada, USA, and UK. Commissions welcome. Viewing by appointment.",,      -64.410020,       45.098000,2178 Saxon Street,Port Williams,NS,AV_Cultural/png/CulturalIndustry.png,
      102.000000,        1.000000,        0.000000,Domaine de Grand Pre & Le Caveau Restaurant,Cultural Industry,Agriculture,n/a,11611 Nova Scotia 1 Trunk,Grand Pre,BOP 1M0,,,542-1753,mail@grandprewines.ns.ca,http://www.grandprewines,"At Domaine de Grand Pr,, we take great pride in making the finest Nova Scotia wines. We work hard to develop special wines true to our province and unlike any others in the region - we grow specialty grapes",,      -64.307820,       45.101100,11611 Nova Scotia 1 Trunk,Grand Pre,NS,AV_Cultural/png/CulturalIndustry.png,
      146.000000,        1.000000,        0.000000,Books Galore,Cultural Industry,Literature,n/a,2591 Nova Scotia 1 Trunk,Coldbrook,B4R 1B6,,,679-9816,,,,,      -64.585320,       45.064760,2591 Nova Scotia 1 Trunk,Coldbrook,NS,AV_Cultural/png/CulturalIndustry.png,
      151.000000,        1.000000,        0.000000,The Canning Gazette,Cultural Industry,Media,n/a,2229 North Avenue,Canning,B0P 1H0,,,582-3768,village.canning@xcountry.tv,http://canningnovascotia.ca/gazette/canngazette-indx.html,,,      -64.421110,       45.158680,2229 North Avenue,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      111.000000,        1.000000,        0.000000,Fox Hill Cheese House,Cultural Industry,Artisanal Food,n/a,1678 Church Street,Port Williams,B0P 1T0,,,542-3599,foxhillfarm@ns.sympatico.ca,http://www.foxhillcheesehouse.com,It is with pride that Fox Hill Cheese House crafts over 20 varieties of cheese using milk from our own herd of Holstein cows. We feel that the commitment to using quality fresh milk enables us to bring you a truly,,      -64.398650,       45.112480,1678 Church Street,Port Williams,NS,AV_Cultural/png/CulturalIndustry.png,
      161.000000,        1.000000,        0.000000,Gaspereau Valley Gazette,Cultural Industry,Media,n/a,1725 White Rock Road,Wolfville,B4P 2R1,Daphne Frazee,Owner/Editor,542-4309,gaspereaugazette@accesswave.ca,http://www.reddragonflydmc.com/GaspereauValleyGazette,The Gaspereau Valley Gazette first appeared in May of 2007. Its purpose is to improve communications within the Valley thus creating more of a sense of community. It also gives local businesses a place to adver,,      -64.387760,       45.061780,1725 White Rock Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      103.000000,        1.000000,        0.000000,Luckett Vineyards,Cultural Industry,Agriculture,n/a,1293 Grand Pre Road,Grand Pre,B4P 2R3,,,542-2600,wine@luckettvineyards.com,http://www.luckettvineyards.com,"and certified organic.  For a unique wine experience, visit our geothermal winery and tasting bar overlooking our certified organic vineyard with stunning views of the Gaspereau Valley.  Wine shop and tasting b",,      -64.299780,       45.075870,1293 Grand Pre Road,Grand Pre,NS,AV_Cultural/png/CulturalIndustry.png,
      105.000000,        1.000000,        0.000000,Hennigar's Farm Market,Cultural Industry,Agriculture,n/a,10272 Nova Scotia 1 Trunk,Wolfville,B4P 2R2,Doug & Heather Hennigar,Owners,542-3503,info@hennigars.com,http://www.hennigars.com,"Hennigar's needs no introduction to many locals; a stop here is like ""coming home."" Browse the store for giftware, plants, baked goods, produce or line up for some of our famous ice-cream; have some delicious co",,      -64.386320,       45.085510,10272 Nova Scotia 1 Trunk,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      112.000000,        1.000000,        0.000000,Vector Instruments,Cultural Industry,Craft,n/a,1111 Russia Road,Black Rock,B0P 1V0,Nicholas Tipney,Artisan,538-3271,into@vectorinstuments.com,http://www.vectorinstruments.com,"Designer-builder of state-of-art custom instruments. Specializing in electric/acoustic violins, cellos, and upright basses. International reputation and clientele.",no,      -64.740260,       45.155700,1111 Russia Road,Black Rock,NS,AV_Cultural/png/CulturalIndustry.png,
      192.000000,        1.000000,        0.000000,The Printmaker Studio,Cultural Industry,Visual Art,n/a,1688 Brow of the Mountain Road,Centreville,B0P 1J0,Bob Hainstock,Artist,582-3656,,http://www.printmaker.ca,"Bob is a printmaker and painter of landscapes. He creates small editions in woodcuts, etchings, lithographs, collagraphs, and monoprints. He often uses handmade paper created from local materials. Instruction",,      -64.528870,       45.134140,1688 Brow of the Mountain Road,Centreville,NS,AV_Cultural/png/CulturalIndustry.png,
      173.000000,        2.000000,        0.000000,Dick Killam Photography Inc.,Cultural Industry,Photography,n/a,4079 Highway 359,Centreville,B0P 1J0,Dick Killam,.,679-1949,dick.killam@xcountry.tv,,,,      -64.528870,       45.134140,4079 Highway 359,Centreville,NS,AV_Cultural/png/CulturalIndustry.png,
